Attractor, Associated Cell Fate,Probability,cln3,mbf,sbf,cln12,cdh1,swi5,cdc20,clb56,sic1,clb12,mcm1
261,Uncharacterized,1.25E-07,0,1,1,0,0,1,1,0,0,0,0
262,Uncharacterized,1.25E-07,0,0,0,0,1,1,1,0,0,1,1
263,Uncharacterized,1.25E-07,1,0,1,1,0,0,0,1,0,1,1
264,Uncharacterized,1.25E-07,0,0,1,0,0,1,1,0,0,0,0
265,Uncharacterized,1.25E-07,0,0,1,1,0,1,0,1,0,1,1
266,Uncharacterized,1.25E-07,0,0,1,1,1,0,0,1,0,0,0
267,Uncharacterized,1.24E-07,0,1,1,0,0,0,0,0,1,0,1
268,Uncharacterized,1.24E-07,0,0,1,1,0,0,1,1,0,0,0
269,Uncharacterized,1.24E-07,1,0,1,1,0,0,0,1,0,0,0
270,Uncharacterized,1.24E-07,0,1,1,0,0,0,1,0,1,0,0
271,Uncharacterized,1.24E-07,1,0,1,1,0,0,0,0,0,0,1
272,Uncharacterized,1.24E-07,1,0,0,0,0,1,1,0,0,0,0
273,Uncharacterized,1.24E-07,1,0,0,1,0,0,1,0,0,0,1
274,Uncharacterized,1.24E-07,1,0,1,1,0,1,1,0,0,1,0
275,Uncharacterized,1.24E-07,1,0,1,1,0,0,1,0,0,0,0
276,Uncharacterized,1.24E-07,1,0,0,1,0,0,1,0,0,1,1
277,Uncharacterized,1.24E-07,1,0,0,0,0,0,1,0,1,0,1
278,Uncharacterized,1.23E-07,1,0,1,1,0,0,0,0,0,1,0
279,Uncharacterized,1.21E-07,0,1,1,0,0,0,0,0,0,0,1
280,Uncharacterized,1.20E-07,0,1,1,0,0,1,1,0,0,1,0
281,Uncharacterized,1.19E-07,1,0,0,0,0,0,0,0,0,0,1
282,Uncharacterized,1.19E-07,1,0,0,0,0,1,1,0,0,1,0
283,Uncharacterized,1.19E-07,0,1,0,0,0,1,1,0,0,1,0
284,Uncharacterized,1.19E-07,0,0,0,0,1,1,0,0,0,0,1
285,Uncharacterized,1.11E-07,0,1,0,0,0,1,1,0,0,1,1
286,Uncharacterized,1.09E-07,1,1,1,0,1,0,0,0,1,0,0
287,Uncharacterized,1.05E-07,0,0,0,0,0,1,0,1,0,1,1
288,Uncharacterized,1.01E-07,0,0,1,1,0,0,0,0,1,0,1
289,Uncharacterized,1.01E-07,0,0,1,1,0,0,1,0,1,0,0
290,Uncharacterized,1.01E-07,0,0,0,0,0,0,1,0,0,1,0
291,Uncharacterized,1.01E-07,1,0,1,1,0,0,0,0,1,0,0
292,Uncharacterized,9.98E-08,0,0,1,0,0,1,1,0,0,1,1
293,Uncharacterized,9.97E-08,0,1,0,0,0,1,1,0,1,1,1
294,Uncharacterized,9.92E-08,0,0,1,0,0,1,1,0,1,1,1
